geo_id,geo_level,pop_total,trials_per_100k,coverage_residual,places_access2,places_bphigh,places_chd,places_depression,places_diabetes,places_foodinsecu,places_foodstamp,places_ghlth,places_housinsecu,places_lacktrpt,places_lpa,places_mhlth,places_obesity,places_stroke,pct_poverty,median_hh_income,gini_index,pct_nhblack,pct_hispanic,pct_no_vehicle,pct_no_internet,pct_unemployed,pct_uninsured,pct_bachelors_plus,endo_per_100k,amc_count,has_ctsa,dist_nearest_trial_km,has_trial_site,county_trial_count,county_site_count,burden_decile,lat,lon,pop,pct_nhwhite,endo_count
31005,county,485.0,0.0,0.0,7.6,30.7,5.6,19.1,9.3,11.5,8.9,15.1,9.0,6.7,24.5,15.4,42.4,2.9,7.010309278350515,66667.0,0.4134,0.0,1.2371134020618555,2.808988764044944,15.168539325842696,0.4464285714285714,6.6,31.4,0.0,0,0,110.83341410421532,False,0,0,1,41.569368,-101.678874,434,92.98969072164948,0
31007,county,670.0,0.0,0.0,9.6,29.1,5.2,18.3,9.0,11.7,8.1,14.8,9.5,6.5,24.6,14.8,38.1,2.6,7.313432835820896,62375.0,0.4278,0.0,5.074626865671642,1.606425702811245,22.89156626506024,3.333333333333333,3.6,30.4,0.0,0,0,34.36318292674768,False,0,0,1,41.558824,-103.721644,674,91.7910447761194,0
31009,county,384.0,0.0,0.0,8.6,30.9,5.5,19.2,9.4,12.4,9.5,15.8,9.7,7.0,26.3,15.9,38.8,2.8,11.458333333333334,52083.0,0.5075,0.0,0.0,0.0,15.422885572139304,1.9047619047619049,7.6,20.8,0.0,0,0,67.71092565461389,False,0,0,2,41.906138,-100.013369,431,100.0,0
31011,county,5397.0,0.0,0.0,9.8,29.4,5.5,18.4,9.4,12.7,9.4,15.5,10.0,7.0,26.8,15.2,33.4,2.9,7.207707985918103,66800.0,0.4408,0.0741152492125254,2.760793033166574,1.1607142857142858,15.669642857142858,0.9929078014184396,4.5,18.0,0.0,0,0,71.5127697986876,False,0,0,2,41.677314,-98.014023,5379,95.47896979803596,0
31013,county,10778.0,0.0,0.0,11.2,30.8,5.7,17.9,10.4,14.8,10.5,17.7,11.5,7.9,28.7,15.6,39.0,3.0,11.792540359992577,67893.0,0.3784,3.386528112822416,13.25848951568009,2.3616881696916683,8.26590859392084,3.990481420464946,8.8,18.1,0.0,0,0,91.33286216498824,False,0,0,4,42.136678,-102.905215,10842,80.0612358508072,0
31015,county,1767.0,0.0,0.0,9.3,31.6,5.8,18.2,10.0,13.5,10.2,16.5,10.3,7.4,26.9,15.8,38.7,3.0,11.43180531975099,57120.0,0.4247,0.2829654782116582,3.225806451612903,0.7434944237918215,15.241635687732344,1.8244013683010265,8.3,16.9,0.0,0,0,149.88197026009743,False,0,0,3,42.893569,-98.74483,1810,92.64289756649688,0
31017,county,2691.0,0.0,0.0,10.7,31.4,5.7,18.6,9.9,14.2,10.4,16.8,10.9,7.6,26.8,15.8,41.0,3.0,8.769973987365292,44267.0,0.485,0.0371609067261241,4.013377926421405,0.4930156121610518,9.695973705834016,0.4647560030983733,7.3,21.3,0.0,0,0,128.534622333398,False,0,0,3,42.543087,-99.849627,2903,91.30434782608695,0
31021,county,6717.0,0.0,0.0,9.3,31.8,5.6,18.9,9.7,13.4,10.0,16.0,10.4,7.3,26.7,15.8,40.6,2.9,14.00923031115081,54950.0,0.4619,0.4466279589102278,3.587911269912164,3.4050179211469533,16.344086021505376,2.6509102523155543,9.6,23.4,0.0,0,0,46.18659279209657,False,0,0,2,41.845218,-96.347791,6722,91.24609200535951,0
31023,county,8373.0,0.0,0.0,9.4,28.8,5.2,17.4,8.8,11.6,8.0,15.3,9.4,6.5,25.6,15.0,38.6,2.7,7.727218440224531,75690.0,0.4519,0.119431506031291,4.896691747282933,0.3705815279361459,11.94412770809578,0.6887358364807821,6.6,25.3,0.0,0,0,66.90609988595354,False,0,0,1,41.247435,-97.141745,8369,91.37704526454078,0
31025,county,26749.0,0.0,0.0,8.1,29.2,5.0,19.1,8.6,10.1,7.0,13.4,8.5,5.9,23.8,14.6,39.6,2.5,5.54039403342181,87673.0,0.395,0.1644921305469363,3.839395865265992,1.228358642035013,9.63342683044782,2.169943820224719,7.0,31.3,0.0,0,0,22.728320006055764,False,0,0,0,40.949471,-96.063719,26598,91.92119331563796,0
