geo_id,geo_level,trial_count,site_count,trials_per_100k,coverage_residual,industry_pct,pop_total,median_hh_income,gini_index,pct_poverty,pct_nhblack,pct_hispanic,pct_no_vehicle,pct_no_internet,pct_unemployed,pct_uninsured,pct_bachelors_plus,places_access2,places_bphigh,places_chd,places_depression,places_diabetes,places_foodinsecu,places_foodstamp,places_ghlth,places_housinsecu,places_lacktrpt,places_lpa,places_mhlth,places_obesity,places_stroke,endo_per_100k,amc_count,has_ctsa,trials_100k_phase_early_phase1,trials_100k_phase_phase1,trials_100k_phase_phase2,trials_100k_phase_phase3,trials_100k_phase_phase4,trials_100k_phase_unknown,trials_100k_sponsor_industry,trials_100k_sponsor_non_industry,trials_100k_status_active_not_recruiting,trials_100k_status_completed,trials_100k_status_enrolling_by_invitation,trials_100k_status_not_yet_recruiting,trials_100k_status_no_longer_available,trials_100k_status_recruiting,trials_100k_status_suspended,trials_100k_status_terminated,trials_100k_status_unknown,trials_100k_status_withdrawn
GA,state,686,1541,6.397866134443789,-1.9218787820851275,88.48396501457727,10722325,71355,0.4787,13.202108684450431,31.094888468685664,10.058051775151378,1.4683934331519908,9.600379071022603,5.1910153674963135,12.9,33.6,13.445364844616588,35.34016562656866,5.458124495173808,19.260814675522635,12.127335709623386,18.134732348190564,14.55524397370911,19.79005279519126,15.6797310679431,9.803876382037153,26.10746361894747,17.43281089343371,35.22309360316757,3.3099008002547774,3.0403853641817427,0,1,,0.1025896902024514,1.4176029918884197,3.385459776680897,0.6062118057417585,0.1585477030401522,5.661085632080729,0.7367805023630603,0.2704637287155537,5.05487382633897,,0.0559580128377007,,0.2518110577696535,0.0186526709459002,0.6155381412147085,0.074610683783601,0.0559580128377007
HI,state,191,219,13.167065240395454,4.545481160987116,91.62303664921464,1450589,94814,0.4466,9.371434637929834,1.8381498825649445,10.962650344101602,2.4029460267076663,7.6649183932416625,4.7229897407504335,3.9,34.7,5.777375002737565,27.12076669367732,4.7818279932546375,16.9544176430652,10.20610840761262,18.357149252096978,12.978010731258625,17.404701430104463,12.200491623048116,8.112647204397627,21.629658132761,15.856396574757452,26.14309489498697,2.9743971441711747,1.9302504017333648,0,1,,0.2757500573904807,2.6885630595571866,8.272501721714422,0.6204376291285816,0.4825626004333412,12.06406501083353,1.1030002295619228,0.6893751434762018,10.133814609100163,0.0689375143476201,0.1378750286952403,,0.5515001147809614,,1.4476878013000236,,0.1378750286952403
IA,state,230,302,7.212663178664566,0.1749374188251975,94.78260869565216,3188836,70571,0.4431,10.760697633870164,3.698528240398691,6.542732206987126,1.4506188868021197,10.01519991256756,3.816305318582891,4.8,30.3,7.628868391792583,30.47960213688016,5.374739935128116,21.4606944133794,9.694684567129158,12.682610556336554,10.586636464716529,16.987972095562082,10.36578847922509,7.186756736897437,23.896271118285004,17.310374131670383,38.18513481869544,2.804349298836198,2.0070019279762272,0,1,,0.0627188102492571,1.2230167998605133,4.641191958445025,0.6585475076171995,0.1254376204985142,6.836350317169024,0.3763128614955425,0.4703910768694282,5.519255301934624,0.0313594051246285,0.0313594051246285,,0.4076722666201711,,0.6585475076171995,0.0313594051246285,0.0627188102492571
ID,state,301,376,16.234212767426296,7.484978660055461,99.66777408637874,1854109,70214,0.4436,10.721484011997138,0.6428424650330697,13.064819813721847,1.3809688104803184,7.136585011912818,3.7413583648180424,9.7,30.2,11.003005908971916,28.874937357418005,5.353323329219493,24.27377078959038,9.02534981006876,13.293546344825376,9.241579180757908,17.26111845725612,11.111016145491073,7.755867699935352,21.66679776196353,16.846104005385392,32.412273872299956,2.871705253962911,1.348356542145041,0,0,,0.0539342616858016,3.7214640563203134,10.247509720302313,1.1326194954018345,0.2157370467432065,16.180278505740493,0.0539342616858016,0.593276878543818,13.213894113021404,,0.1078685233716032,,0.6472111402296197,,1.3483565421450412,0.1078685233716032,0.2157370467432065
IL,state,637,1168,4.9930888439031875,-3.6284952355051505,85.71428571428571,12757634,78433,0.4812,11.505997115139062,13.671429984588052,17.837978421390673,2.5569150941250745,9.023798890709374,5.938593805033189,7.0,36.7,10.22186603498295,29.92903102923792,4.949781134350931,20.348027923540915,10.209867802933454,16.527015622550895,14.351227635614068,17.861674146730753,14.040819929202744,8.391279516082975,22.31389127185672,16.326736401363362,34.13573224631398,2.8315803866391134,4.585489754604969,1,1,,0.062707552199726,1.0895437194702404,2.6415556364134605,0.4075990892982194,0.1881226565991781,4.279790437631304,0.713298406271884,0.2429917647739385,3.942737344557776,0.0156768880499315,0.031353776099863,0.0078384440249657,0.2116379886740754,0.0156768880499315,0.4311144213731167,0.0391922201248287,0.0548691081747603
IN,state,455,892,6.706559147503472,0.3008120867687491,90.10989010989012,6784403,67173,0.4517,11.949496514284307,9.314290439409334,7.531745976764647,1.9248220151070472,10.568526633293086,4.486152158678895,7.8,28.2,9.14959337016784,34.862805564797355,5.782334128602289,25.6635626153448,11.477603993975292,15.307863627014124,9.05990534498464,19.876290425776947,12.125074972345685,8.067748270361113,24.229706793151397,18.368310589020357,38.570637020859934,3.0427196302520687,3.286950966798405,0,1,,0.1326572139066621,1.3118324486325472,4.00919579806801,0.5748479269288691,0.1916159756429563,6.043273077970162,0.6632860695333105,0.3242731895496184,5.394726698870925,0.0147396904340735,0.0589587617362942,,0.2063556660770299,0.0147396904340735,0.5748479269288691,0.0589587617362942,0.0589587617362942
KS,state,351,475,11.955358487044274,4.917632727204905,94.5868945868946,2935922,69747,0.4579,11.235652718294286,5.373712244398863,12.601492818950913,1.1616396853656732,9.202836410173814,3.953553118616374,8.9,34.7,10.2622015137505,31.626914280906185,5.470057194143555,21.357358999095812,10.103719199771705,13.537234958990904,7.837207846642944,17.46696883504607,12.143562598137574,7.444560457196992,24.95793347814028,16.64559237363932,36.982010178037754,2.833890657547895,2.3501986769403276,0,1,,0.5449736062470324,2.7929897320160415,6.709987526916587,1.0899472124940648,0.1703042519521976,11.308202329625924,0.6471561574183511,0.4768519054661534,9.775464062056145,,,,0.2043651023426371,,1.3283731652271416,0.1021825511713185,0.068121700780879
KY,state,363,582,8.061408836680965,,93.38842975206612,4502935,60183,0.4768,15.65108090612012,7.891919381470085,4.008074733479386,2.0837690534519773,11.506685312661451,5.054997862668786,5.9,26.5,,,,,,,,,,,,,,,2.887005919472522,0,1,,0.1776619027367705,1.443502959736261,4.930117800945383,0.7772708244733713,0.2442851162630595,7.528423128470653,0.5329857082103118,0.2442851162630595,6.662321352628896,,0.0222077378420963,,0.3331160676314448,0.0444154756841926,0.6440243974207933,0.0666232135262889,0.0444154756841926
LA,state,440,721,9.481642892883723,2.923032451751608,90.22727272727272,4640546,57852,0.4952,18.14523549599551,31.37792406324601,5.507627766215441,2.3871783483943476,14.135222833525184,6.519843590537457,8.1,26.1,9.191516968003194,39.486529145040784,6.380431415045913,27.227698910625676,13.414296155820455,23.2640939941824,19.66434537728854,23.56102891689956,17.992156704500083,11.834559031540524,29.531538156618947,20.203644641533113,40.09274898762334,3.7689642388638567,2.585902607150107,0,1,0.0430983767858351,0.2370410723220931,1.896328578576745,5.5596906053727295,0.775770782145032,0.3232378258937634,8.55502779198827,0.926615100895455,0.3447870142866809,7.7361586330574035,0.0215491883929175,0.0646475651787526,0.0215491883929175,0.3016886375008458,0.0215491883929175,0.8188691589308672,0.0861967535716702,0.0646475651787526
MA,state,500,674,7.159010939684617,0.2627943302129498,65.4,6984205,96505,0.4878,9.626879508834577,6.584113725184183,12.58977936644185,2.2315618963186727,7.050870213189006,5.309528482018365,2.7,45.9,5.3829235574682155,27.89917764477265,4.867147578326234,24.429106431234164,8.572097223159666,13.00881990204958,14.729639401950458,15.638669477938183,11.981438469658093,7.933758404748888,21.078188397833205,17.047635097051064,27.83720992197679,2.58680356802727,9.106261915278832,0,1,0.0143180218793692,0.2863604375873846,1.2456679035051232,2.777696244597631,0.5011307657779231,0.8304452690034155,4.68199315455374,2.4770177851308777,0.5297668095366617,5.082897767176078,0.0429540656381077,0.0859081312762154,,0.4868127438985539,0.0143180218793692,0.5727208751747693,0.2004523063111692,0.1431802187936923
